Baden-Württemberg (DE-BW)
Baieri (DE-BY)
Berliin (DE-BE)
Brandenburg (DE-BB)
Bremen (DE-HB)
Hamburg (DE-HH)
Hessen (DE-HE)
Alam-Saksi (DE-NI)
Mecklenburg-Vorpommern (DE-MV)
Nordrhein-Westfalen (DE-NW)
Rheinland-Pfalz (DE-RP)
Saarimaa (DE-SL)
Saksimaa (DE-SN)
Saksi-Anhalt (DE-ST)
Schleswig-Holstein (DE-SH)
Tüüringi (DE-TH)
