id,name,level
DE-BW,Badenia-Wirtembergia,state
DE-BY,Bawaria,state
DE-BE,Berlin,state
DE-BB,Brandenburgia,state
DE-HB,Brema,state
DE-HH,Hamburg,state
DE-HE,Hesja,state
DE-NI,Dolna Saksonia,state
DE-MV,Meklemburgia-Pomorze Przednie,state
DE-NW,Nadrenia Północna-Westfalia,state
DE-RP,Nadrenia-Palatynat,state
DE-SL,Saara,state
DE-SN,Saksonia,state
DE-ST,Saksonia-Anhalt,state
DE-SH,Szlezwik-Holsztyn,state
DE-TH,Turyngia,state
