Baden-Württemberg (DE-BW)
Bayern (DE-BY)
Berlin (DE-BE)
Brandenburg (DE-BB)
Bremen (DE-HB)
Hamborg (DE-HH)
Hessen (DE-HE)
Niedersachsen (DE-NI)
Mecklenburg-Vorpommern (DE-MV)
Nordrhein-Westfalen (DE-NW)
Rheinland-Pfalz (DE-RP)
Saarland (DE-SL)
Sachsen (DE-SN)
Sachsen-Anhalt (DE-ST)
Slesvig-Holsten (DE-SH)
Thüringen (DE-TH)
