Baden-Württemberg (DE-BW)
Beieren (DE-BY)
Berlijn (DE-BE)
Brandenburg (DE-BB)
Bremen (DE-HB)
Hamburg (DE-HH)
Hessen (DE-HE)
Nedersaksen (DE-NI)
Mecklenburg-Voor-Pommeren (DE-MV)
Noordrijn-Westfalen (DE-NW)
Rijnland-Palts (DE-RP)
Saarland (DE-SL)
Saksen (DE-SN)
Saksen-Anhalt (DE-ST)
Sleeswijk-Holstein (DE-SH)
Thüringen (DE-TH)
