id,name,level
BE-VAN,Antwerpen,province
BE-BRU,Haaptstadregioun Bréissel,capital region
BE-VOV,Provënz Ostflandern,province
BE-VBR,Provënz Flämesche Brabant,province
BE-VLI,Limburg,province
BE-WLG,Léck,province
BE-WLX,Lëtzebuerg,province
BE-WNA,Namur,province
BE-WBR,Provënz Wallounesche Brabant,province
BE-VWV,Provënz Westflandern,province
