id,name,level
BM-DEV,Devonshire,parish
BM-HAM,Hamilton,parish
BM-HA,Hamilton municipality,municipality
BM-PAG,Paget,parish
BM-PEM,Pembroke,parish
BM-SGE,Saint George,parish
BM-SG,Saint George municipality,municipality
BM-SAN,Sandys,parish
BM-SMI,Smiths,parish
BM-SOU,Southampton,parish
BM-WAR,Warwick,parish
