id,name,level
DE-BW,Baden-Wurtemberg,state
DE-BY,Baviera,state
DE-BE,Berlín,state
DE-BB,Brandenburg,state
DE-HB,Bremen,state
DE-HH,Hamburg,state
DE-HE,Hessen,state
DE-NI,Baixa Saxònia,state
DE-MV,Mecklemburg - Pomerània Occidental,state
DE-NW,Rin del Nord - Westfàlia,state
DE-RP,Renània-Palatinat,state
DE-SL,Saarland,state
DE-SN,Saxònia,state
DE-ST,Saxònia-Anhalt,state
DE-SH,Slesvig-Holstein,state
DE-TH,Turíngia,state
